unii,name,classes,usage,side_effects,contraindications
6306DE435T,Abacavir,"Nucleoside reverse transcriptase inhibitor (NRTI)",Treatment of HIV-1 infection,"Hypersensitivity reaction, lactic acidosis, hepatotoxicity",Do not use in patients with the HLA-B*5701 allele due to a high risk of a severe hypersensitivity reaction.
O31R55336Y,Abatacept,"Selective T-cell costimulation modulator",Treatment of rheumatoid arthritis,"Headache, nausea, increased risk of infections",Do not use in patients with active infections.
2442761848,Abiraterone,"Androgen biosynthesis inhibitor",Treatment of metastatic castration-resistant prostate cancer,"Hepatotoxicity, fluid retention, hypokalemia",Avoid use in severe hepatic impairment.
8645472855,Acalabrutinib,"Kinase inhibitor",Treatment of mantle cell lymphoma,"Anemia, neutropenia, headache",Avoid co-administration with strong CYP3A inhibitors.
Y8625514G8,Acetaminophen,"Analgesic and antipyretic",Relief of mild to moderate pain and fever,"Liver damage (with overdose), rash",Use with caution in patients with liver disease.
5653457529,Acitretin,"Retinoid",Treatment of severe psoriasis,"Dry skin, chapped lips, hair loss","Pregnancy, severe liver or kidney disease"
6326885315,Acyclovir,"Antiviral",Treatment of herpes virus infections,"Nausea, vomiting, headache",Use with caution in patients with renal impairment.
8182445582,Adalimumab,"Tumor necrosis factor (TNF) blocker",Treatment of rheumatoid arthritis and other inflammatory conditions,"Increased risk of infections, injection site reactions",Do not use in patients with active infections.
662369S3W9,Ado-trastuzumab emtansine,"HER2-targeted antibody-drug conjugate",Treatment of HER2-positive metastatic breast cancer,"Fatigue, nausea, thrombocytopenia",Monitor liver function.
YJ51253G3Y,Afatinib,"Kinase inhibitor",Treatment of non-small cell lung cancer,"Diarrhea, rash, stomatitis",Use with caution in patients with severe renal or hepatic impairment.
W833443833,Aflibercept,"VEGF inhibitor",Treatment of macular degeneration,"Eye pain, cataracts, vitreous floaters",Intravitreal injection only.
1D8642342B,Albendazole,"Anthelmintic",Treatment of parasitic worm infections,"Abdominal pain, nausea, headache",Monitor liver enzymes.
Y42314546B,Albuterol,"Beta-2 adrenergic agonist",Treatment or prevention of bronchospasm,"Tremor, nervousness, tachycardia",Use with caution in patients with cardiovascular disorders.
433552C944,Alclometasone,"Corticosteroid",Relief of inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses,"Burning, itching, irritation",Avoid use in the eyes.
6K89745199,Alectinib,"Kinase inhibitor",Treatment of anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer,"Hepatotoxicity, interstitial lung disease, bradycardia",Monitor liver function and heart rate.
5221447APX,Alendronate,"Bisphosphonate",Treatment and prevention of osteoporosis,"Esophagitis, musculoskeletal pain",Take with a full glass of water and remain upright for at least 30 minutes.
5221499AXX,Allopurinol,"Xanthine oxidase inhibitor",Treatment of gout and hyperuricemia,"Rash, nausea, kidney problems",Discontinue if rash develops.
