Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Side Effects,Contraindications,Interaction warnings & Precautions,Storage Conditions,Pregnancy Category,Reference,Availability
Acyclovir,Antiviral,Herpes simplex virus (HSV) infections,Tablet,400 mg,Oral,Varicella zoster virus (VZV) infections,Nausea ,Probenecid may decrease acyclovir clearance increasing its levels Maintain adequate hydration to prevent nephrotoxicity especially in elderly or dehydrated patients.,Room Temperature,Human studies have proved safety,"Lexicomp, Micromedex",Prescription
Adalimumab,TNF Blocker,Autoimmune disorders (RA,Solution,40 mg/0.8 mL,Subcutaneous,Crohn's,psoriasis,Live vaccines should not be given concurrently due to increased risk of infection Serious infections including tuberculosis and invasive fungal infections may occur.,Refrigerate Do Not Freeze Protect from light,Animal studies have demonstrated safety,"FDA Prescribing Information, Briggs",Prescription
Adapalene,Retinoid,Acne vulgaris,Gel,0.10%,Topical,Skin dryness,erythema,No major systemic drug interactions due to minimal absorption Use of abrasive soaps or cosmetics may cause significant irritation Avoid excessive sun exposure.,Room Temperature,Contraindicated (not allowed),"FDA Prescribing Information, Avoid topical use on large areas",No prescription required
Albendazole,Anthelmintic,Parasitic worm infections,Tablet,200 mg,Oral,Abdominal pain,nausea,Cimetidine praziquantel and dexamethasone can increase albandinazole sulfoxide levels Bone marrow suppression is rare but possible monitor blood counts.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Albuterol-Ipratropium,SABA + Anticholinergic,COPD,Solution for Nebulization,3 mL/3 mL (0.5/2.5),Inhalation,bronchospasm,Cough,Beta-blockers may antagonize the effects of albuterol Use cautiously with other anticholinergic drugs to avoid additive effects Paradoxical bronchospasm may occur use a different medication if it happens.,Room Temperature,Animal studies have demonstrated safety,"Lexicomp, Micromedex",Prescription
Alendronate,Bisphosphonate,Osteoporosis,Tablet,70 mg,Oral,osteoporosis prevention,Esophageal irritation,Calcium supplements antacids and other oral medications can interfere with absorption administer at least 30 minutes before any other oral product Risk of esophageal irritation and osteonecrosis of the jaw.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Allopurinol,Xanthine Oxidase Inhibitor,Gout,Tablet,300 mg,Oral,hyperuricemia,Rash,Increases concentrations of azathioprine and mercaptopurine may increase risk of rash with ampicillin and amoxicillin Severe skin reactions like Stevens-Johnson syndrome can occur discontinue at first sign of rash.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,"Lexicomp, Micromedex",Prescription
Alprazolam,Benzodiazepine,Anxiety disorders,Tablet,0.5 mg,Oral,panic disorder,Sedation,Strong CYP3A4 inhibitors like ketoconazole can significantly increase levels Risk of profound sedation respiratory depression and coma if used with opioids or alcohol Abrupt discontinuation can cause seizures.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Amantadine,Antiviral / Antiparkinsonian,Parkinson's disease,Capsule,100 mg,Oral,influenza A,Dizziness,Anticholinergic drugs may have additive side effects Use cautiously in patients with seizure history or psychiatric disorders livedo reticularis and ankle edema are common.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Amikacin,Aminoglycoside Antibiotic,Serious bacterial infections,Solution,500 mg/2 mL,Intravenous,Nephrotoxicity,ototoxicity,Other nephrotoxic or ototoxic drugs like vancomycin or furosemide increase risk of toxicity Monitor peak and trough levels to minimize risk of nephrotoxicity and ototoxicity.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Aminoglycoside risk of ototoxicity),Prescription
Amitriptyline,Tricyclic Antidepressant,Depression,Tablet,25 mg,Oral,neuropathic pain,Sedation,MAOIs can cause serotonin syndrome and hyperpyrexia Strong anticholinergic effects may occur with other drugs like benztropine Increased risk of suicide in children and young adults.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Amlodipine,Dihydropyridine CCB,Hypertension,Tablet,5 mg,Oral,angina,Peripheral edema,Weak CYP3A4 inhibitors may increase levels but no dosage adjustment is typically needed Monitor for hypotension and peripheral edema dose-related side effects.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Amlodipine-Benazepril,CCB + ACE Inhibitor,Hypertension,Capsule,5/20 mg,Oral,Peripheral edema,cough,NSAIDs may reduce the antihypertensive effect Lithium levels may increase Risk of angioedema can occur at any time discontinue immediately if it occurs.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (ACE Inhibitor risk),Prescription
Amlodipine-Valsartan,CCB + ARB,Hypertension,Tablet,5/160 mg,Oral,Peripheral edema,dizziness,NSAIDs may reduce the antihypertensive effect Lithium levels may increase Use in pregnancy can cause injury and death to the developing fetus.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information (ARB risk),Prescription
Amoxicillin,Penicillin Antibiotic,Bacterial infections,Capsule,500 mg,Oral,Diarrhea,nausea,Probenecid decreases renal tubular secretion of amoxicillin May reduce efficacy of oral contraceptives Serious and occasionally fatal hypersensitivity reactions have been reported.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Amoxicillin-Clavulanate,Penicillin Antibiotic + Beta-Lactamase Inhibitor,Bacterial infections,Tablet,875/125 mg,Oral,Diarrhea,nausea,Probenecid decreases renal tubular secretion Disulfiram-like reactions have been reported with alcohol Cholestatic jaundice may occur and is usually reversible.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Amphetamine,CNS Stimulant,ADHD,Tablet,10 mg,Oral,narcolepsy,Insomnia,MAOIs can cause hypertensive crisis Alkalinizing agents increase urinary excretion and acidifying agents decrease it High potential for abuse and dependence.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Ampicillin,Penicillin Antibiotic,Bacterial infections,Capsule,500 mg,Oral,Diarrhea,rash,Probenecid decreases renal tubular secretion of ampicillin Allopurinol may increase the incidence of skin rashes Serious and occasionally fatal hypersensitivity reactions have been reported.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Ampicillin-Sulbactam,Penicillin Antibiotic + Beta-Lactamase Inhibitor,Bacterial infections,Powder for Injection,3 g (2/1 g),Intravenous,Diarrhea,rash,Probenecid decreases renal tubular secretion Disulfiram-like reactions have been reported with alcohol Serious and occasionally fatal hypersensitivity reactions have been reported.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Anastrozole,Aromatase Inhibitor,Breast cancer (hormone receptor-positive),Tablet,1 mg,Oral,Hot flashes,arthralgia,Tamoxifen may reduce anastrozole levels Estrogen-containing medications should not be used Decreases bone mineral density increasing fracture risk.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Apixaban,Direct Oral Anticoagulant (Factor Xa Inhibitor),Stroke prevention in atrial fibrillation,Tablet,5 mg,Oral,VTE treatment,Bleeding,Strong dual inducers of CYP3A4 and P-gp (eg rifampin) decrease apixaban levels increasing stroke risk Risk of serious and fatal bleeding discontinue if active bleeding occurs.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Risk of hemorrhage),Prescription
Apremilast,PDE4 Inhibitor,Psoriasis,Tablet,30 mg,Oral,psoriatic arthritis,Diarrhea,Strong CYP450 inducers (eg rifampin) reduce apremilast exposure May cause weight loss and depression monitor patient accordingly.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Aripiprazole,Atypical Antipsychotic,Schizophrenia,Tablet,5 mg,Oral,bipolar disorder,manic/mixed episodes,Strong CYP3A4 inhibitors (eg ketoconazole) or inducers (eg carbamazepine) require dose adjustment May cause suicidal thoughts and metabolic changes including weight gain and dyslipidemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Armodafinil,CNS Stimulant,Narcolepsy,Tablet,150 mg,Oral,sleep apnea,shift work disorder,Can reduce efficacy of cyclosporine and hormonal contraceptives Strong CYP3A4 inducers or inhibitors may affect levels Serious skin reactions including Stevens-Johnson syndrome have been reported.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Asenapine,Atypical Antipsychotic,Schizophrenia,Tablet,5 mg,Sublingual,bipolar disorder,Somnolence,Strong CYP1A2 inhibitors like fluvoxamine increase asenapine levels Sublingual administration food and drink can decrease absorption May cause cerebrovascular events in elderly patients with dementia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Aspirin,NSAID / Antiplatelet,Pain,Tablet,81 mg,Oral,fever,inflammation,Anticoagulants like warfarin increase bleeding risk Concomitant use with other NSAIDs increases GI toxicity Risk of Reye's syndrome in children and teenagers with viral infections.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Risk of closure of ductus arteriosus),No prescription required
